frame.time,ip.src,ip.dst,eth.src,eth.dst,tcp.port,udp.port,_ws.col.Info,data.text
"Nov 17, 2024 15:23:31.341575000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=1 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:31.381243000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=1401 Win=514 Len=0",
"Nov 17, 2024 15:23:31.619078000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=1401 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:31.658881000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=2801 Win=514 Len=0",
"Nov 17, 2024 15:23:31.662845000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=2801 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:31.703902000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=4201 Win=514 Len=0",
"Nov 17, 2024 15:23:31.884409000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=4201 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:31.921558000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=5601 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:31.921668000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=7001 Win=514 Len=0",
"Nov 17, 2024 15:23:32.080617000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64",,,"Neighbor Solicitation for fe80::a8ab:b5ff:fe01:1064 from c0:35:32:26:48:bb",
"Nov 17, 2024 15:23:32.087792000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb",,,"Neighbor Advertisement fe80::a8ab:b5ff:fe01:1064 (rtr, sol)",
"Nov 17, 2024 15:23:32.142383000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Previous segment not captured] 80 → 51749 [ACK] Seq=8401 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:32.142452000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"[TCP Dup ACK 9#1] 51749 → 80 [ACK] Seq=1 Ack=7001 Win=514 Len=0 SLE=8401 SRE=9801",
"Nov 17, 2024 15:23:32.384559000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Retransmission] 80 → 51749 [ACK] Seq=7001 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:32.384654000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=9801 Win=514 Len=0",
"Nov 17, 2024 15:23:32.506004000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb",,,"Neighbor Solicitation for 2401:4900:5ac6:a527:93a:1306:8b11:b908 from aa:ab:b5:01:10:64",
"Nov 17, 2024 15:23:32.506085000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64",,,"Neighbor Advertisement 2401:4900:5ac6:a527:93a:1306:8b11:b908 (sol, ovr) is at c0:35:32:26:48:bb",
"Nov 17, 2024 15:23:32.607343000 IST",,,"c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51324,5938",,"51324 → 5938 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=24",
"Nov 17, 2024 15:23:32.625865000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=9801 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:32.666532000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=11201 Win=514 Len=0",
"Nov 17, 2024 15:23:32.760650000 IST",,,"aa:ab:b5:01:10:64","c0:35:32:26:48:bb","5938,51324",,"5938 → 51324 [ACK] Seq=1 Ack=25 Win=1395 Len=0",
"Nov 17, 2024 15:23:32.893524000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=11201 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:32.933243000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=12601 Win=514 Len=0",
"Nov 17, 2024 15:23:32.948753000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"80 → 51749 [ACK] Seq=12601 Ack=1 Win=280 Len=1400",
